,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
Earth,Earth,LOC,0.06163787878787879,0.26915404040404034,en,25,-1,,,,,
Ukraine,Ukraine,GPE,0.11622835497835497,0.34627705627705635,en,14,-1,,,,,
India,India,GPE,0.19339133089133087,0.3679522400676246,en,13,-1,,,,,
US,US,GPE,0.12549603174603177,0.26641865079365074,en,12,-1,,,,,
California,California,GPE,0.04447560015741835,0.3252000524727798,en,11,-1,,,,,
Jamaica,Jamaica,GPE,-0.12107070707070706,0.5942828282828282,en,10,-1,,,,,
Paris,Paris,GPE,0.07458333333333333,0.3095833333333333,en,10,-1,,,,,
Australia,Australia,GPE,0.05650472983806316,0.5030070546737213,en,9,-1,,,,,
Florida,Florida,GPE,-0.07610630110630108,0.48498075998076,en,9,-1,,,,,
U.S.,U.S.,GPE,0.10546875,0.24010416666666667,en,8,-1,,,,,
Greece,Greece,GPE,0.0547979797979798,0.24826839826839825,en,7,-1,,,,,
Brazil,Brazil,GPE,0.04068181818181819,0.26346320346320345,en,7,-1,,,,,
UK,UK,GPE,0.15357142857142855,0.44563492063492066,en,7,-1,,,,,
Southern California,Southern California,LOC,-0.05277777777777778,0.3333333333333333,en,6,-1,,,,,
Japan,Japan,GPE,0.022231240981240987,0.30408098845598847,en,6,-1,,,,,
China,China,GPE,0.023511904761904758,0.2555952380952381,en,5,-1,,,,,
Antarctica,Antarctica,LOC,0.0024999999999999966,0.52,en,5,-1,,,,,
Alaska,Alaska,GPE,0.2558518518518519,0.3137037037037037,en,5,-1,,,,,
New York,New York,GPE,0.08470562770562771,0.4426774891774891,en,5,-1,,,,,
Caribbean,Caribbean,LOC,-0.435,0.7275,en,4,-1,,,,,
Iceland,Iceland,GPE,0.175,0.35,en,4,-1,,,,,
Disney Springs,Disney Springs,GPE,0.08238636363636363,0.2121212121212121,en,4,-1,,,,,
Russia,Russia,GPE,0.22727272727272727,0.46590909090909094,en,4,-1,,,,,
Louisville,Louisville,GPE,-0.058333333333333334,0.21250000000000002,en,4,-1,,,,,
Mexico,Mexico,GPE,0.10277777777777777,0.125,en,4,-1,,,,,
Richmond,Richmond,GPE,-0.09999999999999999,0.16666666666666666,en,3,-1,,,,,
