,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
Gordon Ramsay Burger,Gordon Ramsay Burger,PERSON,0.375,0.3,en,4,,,,,,
Bill Gates,Bill Gates,PERSON,-0.037500000000000006,0.2,en,4,,,,,,
Edmund Fitzgerald,Edmund Fitzgerald,PERSON,0.0,0.0,en,4,,,,,,
Hilary Woods,Hilary Woods,PERSON,0.165,0.2833333333333333,en,4,,,,,,
Terrence Tysall,Terrence Tysall,PERSON,0.16249999999999998,0.225,en,4,,,,,,
Richard Sandoval,Richard Sandoval,PERSON,0.12272727272727273,0.17575757575757575,en,3,,,,,,
Gary Brecka,Gary Brecka,PERSON,0.65,0.5,en,3,,,,,,
Scott Lamberson,Scott Lamberson,PERSON,0.0,0.0,en,3,,,,,,
Kairat Almaty,Kairat Almaty,PERSON,0.3347222222222223,0.32222222222222224,en,3,,,,,,
Corey Toppin,Corey Toppin,PERSON,-0.09999999999999999,0.16666666666666666,en,3,,,,,,
Traice Davis,Traice Davis,PERSON,-0.09999999999999999,0.43333333333333335,en,3,,,,,,
Dave Portnoy,Dave Portnoy,PERSON,0.3333333333333333,0.3666666666666667,en,3,,,,,,
Berry Crumb Cake,Berry Crumb Cake,PERSON,0.125,0.25,en,3,,,,,,
Rob Gronkowski,Rob Gronkowski,PERSON,0.3333333333333333,0.3666666666666667,en,3,,,,,,
John August,John August,PERSON,0.0,0.0,en,3,,,,,,
Alan Carr,Alan Carr,PERSON,-0.016666666666666666,0.4666666666666666,en,3,,,,,,
Alvin Kamara,Alvin Kamara,PERSON,0.09196969696969697,0.38739898989898985,en,3,,,,,,
Thomas McGuane,Thomas McGuane,PERSON,0.3166666666666666,0.525,en,2,,,,,,
Cesar Cadenas,Cesar Cadenas,PERSON,0.0,0.0,en,2,,,,,,
Akintunde Salami,Akintunde Salami,PERSON,0.125,0.16666666666666666,en,2,,,,,,
Naema Abdullah,Naema Abdullah,PERSON,-0.08888888888888888,0.43333333333333335,en,2,,,,,,
Edward Berger,Edward Berger,PERSON,-0.36250000000000004,0.4625,en,2,,,,,,
Brigitte Bardot,Brigitte Bardot,PERSON,-0.3166666666666667,0.41666666666666674,en,2,,,,,,
Alice Phoebe Lou,Alice Phoebe Lou,PERSON,0.09761904761904762,0.2698412698412698,en,2,,,,,,
Ric Mixter,Ric Mixter,PERSON,-0.2,0.05,en,2,,,,,,
Rachel Feltman,Rachel Feltman,PERSON,0.5833333333333334,0.625,en,2,,,,,,
Boyd Varty,Boyd Varty,PERSON,0.20555555555555557,0.4388888888888889,en,2,,,,,,
Qudrat Wasefi,Qudrat Wasefi,PERSON,-0.380952380952381,0.7380952380952381,en,2,,,,,,
Dragon Quest,Dragon Quest,PERSON,-0.06666666666666667,0.2333333333333333,en,2,,,,,,
Greg Cope White,Greg Cope White,PERSON,0.15000000000000002,0.18333333333333332,en,2,,,,,,
Richard Linklater,Richard Linklater,PERSON,0.05568181818181818,0.4506060606060606,en,2,,,,,,
Chris Wright,Chris Wright,PERSON,0.0,0.0,en,2,,,,,,
Hodaka Ace 90,Hodaka Ace 90,PERSON,-0.008928571428571428,0.1767857142857143,en,2,,,,,,
Laura Pereira,Laura Pereira,PERSON,0.29545454545454547,0.4292929292929293,en,2,,,,,,
Hakuo Kikuchi,Hakuo Kikuchi,PERSON,-0.01875,0.209375,en,2,,,,,,
Axinella polypoides,Axinella polypoides,PERSON,0.0,0.4,en,2,,,,,,
Christian Dior,Christian Dior,PERSON,-0.041666666666666664,0.09523809523809523,en,2,,,,,,
Marie Verdeil,Marie Verdeil,PERSON,0.0,0.0,en,2,,,,,,
Irrfan Khan,Irrfan Khan,PERSON,0.0,0.0,en,2,,,,,,
BJ Freeman,BJ Freeman,PERSON,-0.06666666666666667,0.6625,en,2,,,,,,
Cedquavious Hunter,Cedquavious Hunter,PERSON,-0.06666666666666667,0.6625,en,2,,,,,,
Dick Cheney,Dick Cheney,PERSON,0.2,0.2,en,2,,,,,,
Norma Desmond,Norma Desmond,PERSON,0.018229166666666664,0.7354166666666666,en,2,,,,,,
Robert Pattinson,Robert Pattinson,PERSON,0.0,0.75,en,2,,,,,,
Praskovya Petrovna,Praskovya Petrovna,PERSON,0.4875,1.0,en,2,,,,,,
ETH Zurich,ETH Zurich,PERSON,0.13636363636363635,0.45454545454545453,en,2,,,,,,
Yi Yao,Yi Yao,PERSON,0.13636363636363635,0.45454545454545453,en,2,,,,,,
Taylor Swift,Taylor Swift,PERSON,0.5138888888888888,0.33055555555555555,en,2,,,,,,
Lautaro Martinez,Lautaro Martinez,PERSON,0.4,0.3,en,2,,,,,,
Cristian Chivu,Cristian Chivu,PERSON,0.4,0.3,en,2,,,,,,
Tony Khan,Tony Khan,PERSON,-0.475,0.853125,en,2,,,,,,
Betty Schaefer,Betty Schaefer,PERSON,0.018229166666666664,0.7354166666666666,en,2,,,,,,
Fine Gael,Fine Gael,PERSON,0.22583333333333333,0.335,en,2,,,,,,
Andrew Wiggins,Andrew Wiggins,PERSON,-0.4333333333333333,0.6,en,2,,,,,,
Enzo Maresca,Enzo Maresca,PERSON,0.25,0.25,en,2,,,,,,
Oksana Katerusha,Oksana Katerusha,PERSON,-0.1,0.0,en,2,,,,,,
Cole Palmer,Cole Palmer,PERSON,0.25,0.25,en,2,,,,,,
